64177
12198	30023	41
30023	67168	20
30023	55428	0
30023	5	4
30023	125	5
30023	7	6
12198	30023	41
12198	25	4
12198	6	5
12198	7	6
30023	4197	33
30023	70	7
30023	56	5
26848	60764	28
26848	17	13
26848	77	18
26848	20	6
26848	60764	28
26848	19	15
77080	17	13
77080	19	15
77080	198	23
77080	20	6
77080	60764	28
26848	158	23
12142	1529	12
1529	201	13
1529	8278	19
1529	20	6
12142	68310	20
12142	12144	36
12142	5	4
12142	6	5
12142	7	6
1529	19	15
1529	26752	27
1529	17	13
1529	1237	28
1529	9075	19
40799	206	15
40799	40800	28
40799	106	16
40799	97	23
40799	14123	13
40799	20	6
19308	17	13
19308	9055	27
19308	20	6
40799	206	15
537	38707	24
38707	7727	9
38707	5	4
38707	6	5
38707	7	6
537	1002	9
537	5	4
537	6	5
537	7	6
38707	26	5
40825	25117	8
40825	73197	20
40825	77088	41
40825	134	32
40825	25	4
40825	6	5
40825	7	6
231	154	9
231	55277	12
231	25	4
231	6	5
231	7	6
40825	1087	17
40825	4911	20
4589	4224	19
4589	219	15
4589	4591	29
4589	288	13
4589	20	6
4589	4224	19
4224	236	1
4224	23456	24
4224	5	4
4224	6	5
4224	7	6
4589	17986	28
4589	45	23
4589	17	13
77092	44799	19
44799	70	7
44799	5	4
44799	56	5
44799	7	6
44799	77092	12
77092	59152	28
77092	539	18
77092	17	13
77092	20	6
44799	6	5
19112	70931	28
19112	44	15
19112	77098	39
19112	17	13
19112	20	6
19112	70931	28
19112	32	16
70931	70934	17
70931	5914	26
70931	5	4
70931	56	5
70931	7	6
19112	37	21
863	12308	19
12308	1574	7
12308	2972	9
12308	5	4
12308	6	5
12308	7	6
12308	863	12
863	106	16
863	865	27
863	17	13
863	20	6
863	12308	19
12308	51305	8
619	11463	12
619	625	17
619	620	0
619	5	4
619	125	5
619	7	6
619	11463	12
658	1232	17
658	303	7
658	5	4
658	6	5
658	7	6
658	11463	12
619	56	5
16628	10460	12
16628	506	7
16628	11	9
16628	5	4
16628	6	5
16628	7	6
16628	10460	12
22495	134	32
22495	5	4
22495	6	5
22495	7	6
22495	10460	12
16628	77105	12
40310	77106	19
40310	37	21
40310	40313	27
40310	311	13
40310	20	6
40310	77106	19
32754	272	13
32754	77107	19
32754	97	23
32754	20	6
32754	77106	19
13387	77108	28
13387	32	16
13387	77109	27
13387	17	13
13387	20	6
13387	77108	28
77108	431	7
77108	5	4
77108	56	5
77108	7	6
13387	2967	18
11261	29534	12
11261	25113	8
11261	11266	0
11261	5	4
11261	6	5
11261	7	6
11261	29534	12
29534	954	28
29534	37	21
29534	69	13
29534	20	6
11261	129	1
11261	8	7
19119	21026	19
21026	431	7
21026	21029	8
21026	21030	0
21026	25	4
21026	6	5
21026	7	6
19119	26401	28
19119	257	21
19119	106	16
19119	46	13
19119	20	6
19119	21026	19
21026	546	20
24221	22178	12
22178	535	15
22178	22182	29
22178	311	13
22178	20	6
22178	24221	19
24221	5678	17
24221	77116	12
24221	5	4
24221	6	5
24221	7	6
22178	351	13
22178	37	21
6533	31689	12
6533	14611	26
6533	25	4
6533	6	5
6533	7	6
4154	640	1
4154	1343	17
4154	25	4
4154	6	5
4154	7	6
6533	49579	17
6533	158	2
6533	59334	0
13469	72669	12
13469	13473	35
13469	134	32
13469	25	4
13469	6	5
13469	7	6
